ppd_id,filename,size_bytes
78,NY_NY-NYSTRS_AV_2021_78_GASB68.pdf.pdf,425770
78,NY_NY-NYSTRS_AV_2022_78.pdf.pdf,1483841
78,NY_NY-NYSTRS_AV_2022_78_GASB68.pdf.pdf,563098
78,NYStateTRS_InvPolStmt_2006_78.pdf.pdf,638802
78,NYStateTRS_InvPolStmt_2007_78.pdf.pdf,2930094
78,NYStateTRS_InvPolStmt_2008_78.pdf.pdf,2890370
78,NYStateTRS_InvPolStmt_2009_78.pdf.pdf,891173
78,NYStateTRS_InvPolStmt_2010_78.pdf.pdf,994389
78,NYStateTRS_InvPolStmt_2011_78.pdf.pdf,957865
78,NYStateTRS_InvPolStmt_2012_78.pdf.pdf,2217039
78,NYStateTRS_InvPolStmt_2013_78.pdf.pdf,2903589
78,NYStateTRS_InvPolStmt_2014_78.pdf.pdf,1579093
78,NYStateTRS_InvPolStmt_2015_78.pdf.pdf,1574565
78,NYStateTRS_InvPolStmt_2016_78.pdf.pdf,1618107
78,NYStateTRS_InvPolStmt_2017_78.pdf.pdf,4562287
78,NYStateTRS_InvPolStmt_2018_78.pdf.pdf,4447803
78,NYStateTRS_InvPolStmt_2020_78.pdf.pdf,4660055
83,NY_NY-ERS-PFRS_CAFR_2001_83_84.pdf.pdf,1377795
83,NY_NY-ERS-PFRS_CAFR_2002_83_84.pdf.pdf,1475880
83,NY_NY-ERS-PFRS_CAFR_2003_83_84.pdf.pdf,4722356
83,NY_NY-ERS-PFRS_CAFR_2004_83_84.pdf.pdf,1704419
83,NY_NY-ERS-PFRS_CAFR_2005_83_84.pdf.pdf,1338191
83,NY_NY-ERS-PFRS_CAFR_2006_83_84.pdf.pdf,1762725
83,NY_NY-ERS-PFRS_CAFR_2007_83_84.pdf.pdf,1284032
83,NY_NY-ERS-PFRS_CAFR_2008_83_84.pdf.pdf,7035937
83,NY_NY-ERS-PFRS_CAFR_2009_83_84.pdf.pdf,12739748
83,NY_NY-ERS-PFRS_CAFR_2010_83_84.pdf.pdf,4087365
83,NY_NY-ERS-PFRS_CAFR_2011_83_84.pdf.pdf,2811008
83,NY_NY-ERS-PFRS_CAFR_2012_83_84.pdf.pdf,2272601
83,NY_NY-ERS-PFRS_CAFR_2013_83_84.pdf.pdf,2026876
83,NY_NY-ERS-PFRS_CAFR_2014_83_84.pdf.pdf,2066657
83,NY_NY-ERS-PFRS_CAFR_2015_83_84.pdf.pdf,1493093
83,NY_NY-ERS-PFRS_CAFR_2016_83_84.pdf.pdf,1842346
83,NY_NY-ERS-PFRS_CAFR_2017_83_84.pdf.pdf,2598339
83,NY_NY-ERS-PFRS_CAFR_2018_83_84.pdf.pdf,2745422
83,NY_NY-ERS-PFRS_CAFR_2019_83_84.pdf.pdf,1923036
83,NY_NY-ERS-PFRS_CAFR_2020_83_84.pdf.pdf,2166336
83,NY_NY-ERS-PFRS_CAFR_2021_83_84.pdf.pdf,3894375
83,NY_NY-ERS-PFRS_CAFR_2022_83_84.pdf.pdf,2170039
83,NY_NY-ERS-PFRS_AV_2001_83_84.pdf.pdf,1920951
83,NY_NY-ERS-PFRS_AV_2002_83_84.pdf.pdf,7959646
83,NY_NY-ERS-PFRS_AV_2003_83_84.pdf.pdf,3452356
83,NY_NY-ERS-PFRS_AV_2004_83_84.pdf.pdf,2357702
83,NY_NY-ERS-PFRS_AV_2005_83_84.pdf.pdf,2762924
83,NY_NY-ERS-PFRS_AV_2006_83_84.pdf.pdf,1737456
83,NY_NY-ERS-PFRS_AV_2007_83_84.pdf.pdf,1784055
83,NY_NY-ERS-PFRS_AV_2008_83_84.pdf.pdf,1740412
83,NY_NY-ERS-PFRS_AV_2009_83_84.pdf.pdf,1869415
83,NY_NY-ERS-PFRS_AV_2010_83_84.pdf.pdf,2169347
83,NY_NY-ERS-PFRS_AV_2011_83_84.pdf.pdf,2031319
83,NY_NY-ERS-PFRS_AV_2012_83_84.pdf.pdf,1647002
83,NY_NY-ERS-PFRS_AV_2013_83_84.pdf.pdf,2507990
83,NY_NY-ERS-PFRS_AV_2014_83_84.pdf.pdf,142146
83,NY_NY-ERS-PFRS_AV_2015_83_84.pdf.pdf,440690
83,NY_NY-ERS-PFRS_AV_2015_83_84-GASB_67_68.pdf.pdf,2504712
83,NY_NY-ERS-PFRS_AV_2016_83_84.pdf.pdf,318090
83,NY_NY-ERS-PFRS_AV_2016_83_84-GASB_67_68.pdf.pdf,2352174
83,NY_NY-ERS-PFRS_AV_2017_83_84.pdf.pdf,304629
83,NY_NY-ERS-PFRS_AV_2017_83_84-GASB_67_68.pdf.pdf,2837051
83,NY_NY-ERS-PFRS_AV_2018_83_84.pdf.pdf,308424
83,NY_NY-ERS-PFRS_AV_2019_83_84.pdf.pdf,453400
83,NY_NY-ERS-PFRS_AV_2020_83_84.pdf.pdf,446758
83,NY_NY-ERS-PFRS_AV_2021_83_84.pdf.pdf,432923
83,NY_NY-ERS-PFRS_AV_2022_83_84.pdf.pdf,451087
85,OH_OH-OPERS_CAFR_2000_85.pdf.pdf,20423927
85,OH_OH-OPERS_CAFR_2001_85.pdf.pdf,7224306
85,OH_OH-OPERS_CAFR_2002_85.pdf.pdf,6603661
85,OH_OH-OPERS_CAFR_2003_85.pdf.pdf,6368282
85,OH_OH-OPERS_CAFR_2004_85.pdf.pdf,1133165
85,OH_OH-OPERS_CAFR_2005_85.pdf.pdf,6085055
85,OH_OH-OPERS_CAFR_2006_85.pdf.pdf,31424138
85,OH_OH-OPERS_CAFR_2007_85.pdf.pdf,4514890
85,OH_OH-OPERS_CAFR_2008_85.pdf.pdf,3702887
85,OH_OH-OPERS_CAFR_2009_85.pdf.pdf,25871874
85,OH_OH-OPERS_CAFR_2010_85.pdf.pdf,12111113
85,OH_OH-OPERS_CAFR_2011_85.pdf.pdf,6335870
85,OH_OH-OPERS_CAFR_2012_85.pdf.pdf,4468395
85,OH_OH-OPERS_CAFR_2013_85.pdf.pdf,25372067
85,OH_OH-OPERS_CAFR_2014_85.pdf.pdf,18322321
85,OH_OH-OPERS_CAFR_2015_85.pdf.pdf,9663477
85,OH_OH-OPERS_CAFR_2016_85.pdf.pdf,4484793
85,OH_OH-OPERS_CAFR_2017_85.pdf.pdf,5556934
85,OH_OH-OPERS_CAFR_2018_85.pdf.pdf,13557092
85,OH_OH-OPERS_CAFR_2019_85.pdf,7666295
85,OH_OH-OPERS_CAFR_2020_85.pdf.pdf,7201981
85,OH_OH-OPERS_CAFR_2021_85.pdf.pdf,50787116
85,OH_OH-OPERS_CAFR_2022_85.pdf.pdf,10223184
85,OH_OH-OPERS_AV_2008_85.pdf.pdf,666742
85,OH_OH-OPERS_AV_2010_85.pdf.pdf,658107
85,OH_OH-OPERS_AV_2011_85.pdf.pdf,685640
85,OH_OH-OPERS_AV_2012_85.pdf.pdf,1369189
85,OH_OH-OPERS_AV_2013_85.pdf.pdf,896664
85,OH_OH-OPERS_AV_2014_85_GASB68.pdf.pdf,2289815
85,OH_OH-OPERS_AV_2015_85.pdf.pdf,982927
85,OH_OH-OPERS_AV_2015_85_GASB68.pdf.pdf,3699064
85,OH_OH-OPERS_AV_2016_85.pdf.pdf,1483582
85,OH_OH-OPERS_AV_2016_85_GASB68.PDF.pdf,1008749
